Invoice_ID,date,category,sku,region,channel,price,quantity,discount,revenue,Cost_Per_Unit,Profit,Customer_Type,Payment_Method,Promotion,Month,Year
INV-00001,2023-01-01,Snacks,SN-007,تبریز,Pharmacy,55904.04,6,4.0,335424.22,45971.6,59594.62,Retail,Card,No,1,2023
INV-00002,2023-01-01,Dairy,DA-009,تبریز,Online,101091.2,6,14.83,606547.17,79755.67,128013.13,Retail,Transfer,Yes,1,2023
INV-00003,2023-01-02,Snacks,SN-100,کرمانشاه,Wholesale,67767.29,4,2.38,271069.16,59210.44,34227.4,Retail,Card,No,1,2023
INV-00004,2023-01-02,Beverages,BE-135,شیراز,Pharmacy,70094.95,56,1.77,3925317.02,53186.02,946899.68,Corporate,Card,No,1,2023
INV-00005,2023-01-02,Dairy,DA-110,کرج,Online,104608.72,7,3.72,732261.06,75751.96,201997.32,Retail,Transfer,No,1,2023
INV-00006,2023-01-02,Personal Care,PE-067,قم,Hypermarket,110481.45,32,4.47,3535406.33,84856.94,819984.39,Corporate,Transfer,No,1,2023
INV-00007,2023-01-02,Beverages,BE-027,اصفهان,Online,52312.42,1,14.12,52312.42,39970.35,12342.07,Retail,POS,Yes,1,2023
INV-00008,2023-01-02,Home Care,HO-108,تهران,Pharmacy,57049.91,1,3.35,57049.91,48137.17,8912.75,Retail,Transfer,No,1,2023
INV-00009,2023-01-02,Dairy,DA-006,قم,Pharmacy,97977.53,4,3.41,391910.1,76665.8,85246.91,Retail,Transfer,No,1,2023
INV-00010,2023-01-03,Personal Care,PE-123,کرمانشاه,Wholesale,110259.64,6,4.55,661557.81,86484.54,142650.55,Retail,Card,No,1,2023
INV-00011,2023-01-04,Beverages,BE-121,شیراز,Supermarket,72509.9,9,6.28,652589.12,50660.02,196648.94,Retail,Card,Yes,1,2023
INV-00012,2023-01-04,Beverages,BE-109,اهواز,Supermarket,68825.13,11,5.14,757076.41,49080.04,217195.96,Retail,Cash,No,1,2023
INV-00013,2023-01-04,Beverages,BE-116,قم,Pharmacy,80988.83,1,4.0,80988.83,67861.17,13127.67,Retail,POS,No,1,2023
INV-00014,2023-01-04,Beverages,BE-033,شیراز,Wholesale,69535.77,8,5.34,556286.13,60840.45,69562.49,Retail,Card,No,1,2023
INV-00015,2023-01-04,Dairy,DA-012,تهران,Wholesale,141507.8,15,1.35,2122617.04,118832.04,340136.41,Retail,Cash,No,1,2023
INV-00016,2023-01-05,Snacks,SN-062,اصفهان,Hypermarket,62034.04,10,2.39,620340.43,46730.4,153036.45,Retail,Transfer,No,1,2023
